ID;TOTAL_NF_ENTRADA;IDADE;SXE;SXA;FUZZYNUMBER;FUZZYLABEL
872285af265a165e7b4f3acd358cd9cad151efba086f1f17f082df5d04c4559b;36664,7;200,89;0,114;0,008;0,774074074;Muito Provável
6e5be529a2ebb2c26d71c48bd2fd508aeeab61d51e654597a7a443856837c9fa;1459,5;200,21;0,006;0;0,833333333;Muito Provável
84f0beeeda7a47e1aedd79a0dc45df5116341c47e6bd055ecf6987453352c3e3;746,11;100;0,005;0;0,833333333;Muito Provável
510cfadf575a240213f5f8323eea6da54c893c7c41fd8770c771dbda21309578;58241,4;82,44;0,09;0,004;0,785294118;Muito Provável
cd2e69db4f29bec2e598f83b1394caf7cf6b84c7e8704db559269138bbf33cd3;16796,19;55,5;0,088;0,026;0,27130325;Provável
6ad6b3d34e7e5e5b258bc89ca32ad2fea96c64e71792958c0e109aaa10a92f6d;2804;150,89;0,008;0;0,805555556;Muito Provável
d157d2aa9e5434bf1307a6ea2a1a886393a48e9fdf13cabca0812697b1eb07ba;7676,82;110,37;0,029;0,001;0,831818182;Muito Provável
f38d1d47ba9bd6d524e167199968e83d395c42c9b7497873351d383195df0271;299;144,53;0,003;0,012;0,764195466;Muito Provável
0e86d7092d81fcfaad0aca085488f9b7e92920859c5e58b138e30c179665e8c9;150800;30,24;0,952;0;0,833333333;Muito Provável
404b6cc0ea662d1c1eaa345368f0cbc5b82e107916d69269088ac446bdab081f;2374,82;421,18;0,005;0,015;0,774407823;Provável
41720a99f8f01c7595456673739d44b165c41c04bdea707af9aad83ee764be42;6240,64;30,86;0,041;0;0,833333333;Muito Provável
e52fed2a34ed070c6eac03e09276094692a447b79c43a4535f2ea8b1fc04895f;33075;58,63;0,016;0;0,833333333;Muito Provável
f555da305ed9b3f142357794add815647bffc0aaff6f88e2e3eb6eac5c51c4f3;2,25;71,98;0;0,007;0,785294118;Muito Provável
20b08afb2a5e45c0bced477c64a6e7f500a2aabae2ee7fbfbb15fa8b7713ee26;1072147,51;40,57;0,144;0;0,83279517;Muito Provável
6e4692a2c6b06303880fd11a4a8f562dcaa01891c675dd076ca76f400ffefc88;13058;158,92;0,108;0,016;0,777718381;Provável
9168c86a2e1bfe415a110cf662362aa0f7c76058753d1f79fc646dea5c55ee50;6380;228,24;0,024;0,006;0,795833333;Muito Provável
69a90e7fb15f0634d77b3e785c7d434aca1fa3b094c1a7770b8b68f0cc79ab85;36043,98;6,44;0,001;0;0,833333333;Muito Provável
24c10df372ae5a70fc5758b3ab6b1b52e5a268c06e18073c7ada9c4c8cea2c20;16061,2;100,73;0,003;0,004;0,814285714;Muito Provável
b37b726fd7965ff001c629ba6d6ca5d2733c60ee36ae459ff689c4ee7b9d135d;125000;101,63;0,1;0,001;0,805555556;Muito Provável
20b9a03a9f5405ccca9c26ac9e4ccb3caa41718e3b6bc608ba962cf2709f1ba6;3975;107,18;0,038;0;0,833333333;Muito Provável
f6ca17050c2ca5c9619b0e1c5cc6bf711b5cadae0e360c2def267f0739642f58;34365,6;197,37;0,117;0;0,829655172;Muito Provável
744f1fcfc6392b411e18c040f2b2f65ade99e8a005245420c26df7a5d07c7961;658300;26,44;0,32;0;0,795833333;Muito Provável
