ID;SITUACAO
eca44eb2701f8f001d0ac06220197dfe5b4218dd54f6f16c964ef60d2ad95bce;IP
36fa513ed47c8494a23bf669bc9067202478055d9dc3f854c00e017de9ff6abc;CA
892b32707683042d8deee7ab498cebb4b06140093a7c1eefd8dd7c1e3cbfc544;IP
7364e4db67db1d0cffbf26048c8728de862870f2df870f45466dea3276c76636;CA
f73822005227d337d9951ed92d0b03c8c7c4f58bd143011390f89f14fcdd6cf9;IP
ad6c1e48128c9835a2f7e1412b366f71b4805bb7c4307ae30550a19c3d95226e;CA
a41f77de0d09491d1305d4d09513f0f199c50bc78c40a981915c438628258215;CA
705de9c051ebbcdf394692e37d52003cd83959f94138f359f76f34c29853ea45;IP
43402c07d6b4a6271a51c0c8701918cb02415a4aa3578ee3e6bea86edc3ac397;CA
d6133486c18709fb9261ceef93708cdb216f0dac15a88e8cb4d3ea15feaea01c;IP
32813dac9ee3bbee039fa61d78884a103244b436c640a0b06db4fed40f16b625;CA
a15a98d8ce91c733caebc1231f8afa28acec30d39998e01879d451c7d3b96dbe;IP
a65fbacde31a764d9b9ead55652b294f123259277d9b27c737ede4f7ce2977fe;CA
3a38debf24126c3078997d1234e3954199558d486f2c213feb64d90cb4e17af7;CA
bf2db89ce18ab2cfae6537041e6c42e463a02a263c53f861cfef8ac21d21ceac;CA
31d501e0b9091218d98b5b3359f3fdb9ede25bc4397a24a832556e96188f0002;CA
4ca26e0fb45dfe721da34ac4ee6c2751cedbd100fc008df41c5de420343f7153;CA
c5972257c24550db8487e2543c3b2089a3bf62fd5cb37afeaf78a977d02ce7af;CA
21e6cacda71d6ceabd85b8f93d4a13ba32cccf38c67925ec152e9c3631683dba;IP
b8223bc151f464e18c3c1690f09930e25ea3bb85e0fa3b8c8e037bf244fbc9dd;CA
16e9ab23203129185c1ee113ed4e00c3710259880e9b10878a36c62ff730b6b1;CA
486db0d390c170a1291a62fb8b4c450c9060167181204552527a3315d5d61bad;IP
627e696075323844d00effcb850ae86c702210e467dc45315b98de3f37939961;CA
1923315cff457206ea8e2a877c29169a2f95b92f91bb6167600c141c77052965;CA
050e108bebe0d5f5f328f5dfa1091e1b2938855a29c23f9c4360bd2a16c3a6bc;CA
1760591c42e943594cdda857a8d32023c7ce6c24befa8975149f3ce19a0c5ce6;CA
8983617c362d42a6ebea71177538805521aa67265f7e1547132bc90f3e5695eb;CA
9b64c6fd59fbf9862da03f323025fc6f9c6d21ed10bd0fc996ee1cc6b4034af2;CA
cec35b9a13b9359bd5508b56301913d1777f58ab01598260f4566c6355e27ac3;CA
7f055e3dea7206b5a57e7130db0dbdbccbc780195ef202e6eedbf344d7451bb4;CA
43ffd115498e08fb8377b2134e0dd7bccdea0c287e379182cd4ac031b2c1816d;CA
986c26a8253f15a0dfb01554e2cbe30c9d933c7c5bb0d38e6f34de1e3f6dc60d;CA
435be67bb7dae9ea4cf417e2f91e95136808a7d4a845ee24d463bc262f9268b1;CA
474fa96d0817469ba3226b339fe8c3dad9ac6d8ecdcff1a61052da7697aa540e;CA
832fce619dce65057768082fddfba61b9489edb7e3c5e64c338672016ea77e13;CA
114bf75731628b636273a9fac4342719a169e8a3690aac3e4c4fcbf8f8a07ef5;CA
578a322eefdde0d55c7dc82afc0b4a7126f7098091fc61d143cd822d52de74b8;CA
56fb4f8582b8c3b92e5cb48e692215f81dca2c514fd3a3dc86aa91c41a3eff3c;CA
3d31751efe5fce8b7859cd9370697483df7f846d653282160b542c56378c439a;CA
08e107fa30236913d8c71f1d4b3c3cb26c594915427058942975554d2e8222fd;CA
aa3c4ce85bc82806db8a7ec0feb41b9bf6f895d601f57e0ea2c43ef3cc2c2bec;IP
084851649de063acb50ae2759d77ab33057ddbdcb2aa1af5b2befe89da99f27d;IP
a4eef3b09135fdf39d1f939144dbfe8e0015983b8173a00488cae648f66a7402;IP
b733658ce35942667cb32766e7ca224e5fc8f8166266eca4f775fd625b4affa8;IP
dbd1e2fe3f1d3c2402fe1ee49bd394031b22f2dae353730d91d72eba84af506a;CA
22cfde8bc7a63597025fc1d1c808479540a34cc299ae8fe1a2644f69fb8377f2;CA
e65ef012fe1347b36d11191de114f4989af748bc3d02c503e96e262a03406469;CA
e31d2bb65e6419253aea773ddad5d09415640eb45eb766eb9e9a2049b72c54db;CA
0a9b7d00028844ba19046e4af64db80f1db47e9adcf581dbc0c3cd0fb18a55ba;CA
84ee9a7fa4aab9942731933e77ec109e808eeea8b520cbff257f6ecec5429497;CA
27a3314cb3dfbf7f1aa8ef09a3e2c1958fd521b8c2753ce68c93bf6a3cc5eb5a;CA
